date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:59	119/119	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2006:13:58%20GMT	https://pkbichdao.com/robots.txt		(from )
13:13:59	70130/70130	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2006:13:58%20GMT	https://pkbichdao.com/	C:/My%20Web%20Sites/EXE101/pkbichdao.com/index.html	(from )
13:13:59	76342/76342	---M--	200	added ('OK')	image/png	etag:%2264ae6bb5-12a36%22	https://pkbichdao.com/upload/1003690/20230712/1_27d24.png	C:/My%20Web%20Sites/EXE101/pkbichdao.com/upload/1003690/20230712/1_27d24.png	(from https://pkbichdao.com/)
13:13:59	76342/76342	---M--	200	added ('OK')	image/png	etag:%2264e43ddc-12a36%22	https://pkbichdao.com/upload/1003690/20230822/1_5307e_4de10.png	C:/My%20Web%20Sites/EXE101/pkbichdao.com/upload/1003690/20230822/1_5307e_4de10.png	(from https://pkbichdao.com/)
13:14:00	441545/441545	---MCZ	200	added ('OK')	text/css	etag:W/%2264e43de1-6bcc9%22	https://pkbichdao.com/css/1.5224650/1003690/10126/style.css?4650	C:/My%20Web%20Sites/EXE101/pkbichdao.com/css/1.5224650/1003690/10126/styled195.css	(from https://pkbichdao.com/)
13:14:00	322425/322425	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265290253-4eb79%22	https://pkbichdao.com/publish/js/lib2-1.522.min.js?4650	C:/My%20Web%20Sites/EXE101/pkbichdao.com/publish/js/lib2-1.522.mind195.js	(from https://pkbichdao.com/)
13:14:00	33547/33547	---MCZ	200	added ('OK')	text/css	etag:W/%2264eefc92-830b%22	https://pkbichdao.com/3rdparty/vhv-font/vhv.css?1.522	C:/My%20Web%20Sites/EXE101/pkbichdao.com/3rdparty/vhv-font/vhv4a8a.css	(from https://pkbichdao.com/)
13:14:00	58381/58381	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2006:14:00%20GMT	https://pkbichdao.com/menu-top/dat-lich-kham	C:/My%20Web%20Sites/EXE101/pkbichdao.com/menu-top/dat-lich-kham.html	(from https://pkbichdao.com/)
13:14:01	56103/56103	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2006:14:00%20GMT	https://pkbichdao.com/menu-top/tra-ket-qua-qua-website	C:/My%20Web%20Sites/EXE101/pkbichdao.com/menu-top/tra-ket-qua-qua-website.html	(from https://pkbichdao.com/)
13:14:01	58066/58066	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2006:14:00%20GMT	https://pkbichdao.com/lien-he	C:/My%20Web%20Sites/EXE101/pkbichdao.com/lien-he.html	(from https://pkbichdao.com/)
13:14:01	41013/41013	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2006:14:01%20GMT	https://pkbichdao.com/page/sitemap	C:/My%20Web%20Sites/EXE101/pkbichdao.com/page/sitemap.html	(from https://pkbichdao.com/)
13:14:01	76342/76342	---M--	200	added ('OK')	image/png	etag:%2264ae6bcd-12a36%22	https://pkbichdao.com/upload/1003690/20230712/1_5307e.png	C:/My%20Web%20Sites/EXE101/pkbichdao.com/upload/1003690/20230712/1_5307e.png	(from https://pkbichdao.com/)
13:14:02	1486/1486	---M--	200	added ('OK')	image/png	etag:%22652a5d2f-5ce%22	https://pkbichdao.com/Common/images/Social/f.png	C:/My%20Web%20Sites/EXE101/pkbichdao.com/Common/images/Social/f.png	(from https://pkbichdao.com/)
13:14:02	1503/1503	---M--	200	added ('OK')	image/png	etag:%22652a5d2f-5df%22	https://pkbichdao.com/Common/images/Social/y.png	C:/My%20Web%20Sites/EXE101/pkbichdao.com/Common/images/Social/y.png	(from https://pkbichdao.com/)
13:14:02	61719/61719	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2006:14:02%20GMT	https://pkbichdao.com/gioi-thieu	C:/My%20Web%20Sites/EXE101/pkbichdao.com/gioi-thieu.html	(from https://pkbichdao.com/)
